Email,Filename,Rating,original Rating,
1,ftw1.jpg,3,,
2,ftw1.jpg,4,5,
3,ftw1.jpg,4,,
4,ftw1.jpg,5,,
5,ftw1.jpg,4,,
6,ftw1.jpg,3,,
7,ftw1.jpg,4,,
8,ftw1.jpg,5,,
9,ftw1.jpg,4,,
10,ftw1.jpg,5,,
11,ftw1.jpg,4,,
12,ftw1.jpg,4,,
13,ftw1.jpg,4,3,
14,ftw1.jpg,4,,
15,ftw1.jpg,4,,
16,ftw1.jpg,4,,
17,ftw1.jpg,5,,
18,ftw1.jpg,4,,
19,ftw1.jpg,4,,
20,ftw1.jpg,4,,
21,ftw1.jpg,4,,
22,ftw1.jpg,3,,
23,ftw1.jpg,4,,
24,ftw1.jpg,5,,
25,ftw1.jpg,5,,
26,ftw1.jpg,5,,
27,ftw1.jpg,5,,
28,ftw1.jpg,2,,
29,ftw1.jpg,3,,
30,ftw1.jpg,3,,
31,ftw1.jpg,4,,
32,ftw1.jpg,4,5,
33,ftw1.jpg,4,,
34,ftw1.jpg,4,,
35,ftw1.jpg,5,,
36,ftw1.jpg,3,,
37,ftw1.jpg,4,4,
38,ftw1.jpg,4,(,
39,ftw1.jpg,3,2,
40,ftw1.jpg,4,,
41,ftw1.jpg,4,,
42,ftw1.jpg,4,,
43,ftw1.jpg,5,,
44,ftw1.jpg,5,,
45,ftw1.jpg,4,,
46,ftw1.jpg,5,,
47,ftw1.jpg,4,,
48,ftw1.jpg,4,,
49,ftw1.jpg,4,,
50,ftw1.jpg,5,,
51,ftw1.jpg,4,,
52,ftw1.jpg,5,4,
53,ftw1.jpg,4,,
54,ftw1.jpg,4,3,
55,ftw1.jpg,5,,
56,ftw1.jpg,3,,
57,ftw1.jpg,5,,
58,ftw1.jpg,5,,
59,ftw1.jpg,3,,
60,ftw1.jpg,5,,
1,ftw2.jpg,4,,
2,ftw2.jpg,4,2,
3,ftw2.jpg,2,,
4,ftw2.jpg,5,,
5,ftw2.jpg,4,,
6,ftw2.jpg,3,,
7,ftw2.jpg,4,,
8,ftw2.jpg,4,,
9,ftw2.jpg,5,,
10,ftw2.jpg,5,,
11,ftw2.jpg,3,,
12,ftw2.jpg,4,,
13,ftw2.jpg,3,5,
14,ftw2.jpg,4,,
15,ftw2.jpg,4,,
16,ftw2.jpg,4,,
17,ftw2.jpg,5,,
18,ftw2.jpg,4,,
19,ftw2.jpg,4,,
20,ftw2.jpg,4,,
21,ftw2.jpg,4,,
22,ftw2.jpg,3,,
23,ftw2.jpg,5,,
24,ftw2.jpg,5,,
25,ftw2.jpg,5,,
26,ftw2.jpg,5,,
27,ftw2.jpg,4,,
28,ftw2.jpg,3,,
29,ftw2.jpg,2,,
30,ftw2.jpg,2,,
31,ftw2.jpg,3,,
32,ftw2.jpg,3,4,
33,ftw2.jpg,4,,
34,ftw2.jpg,3,,
35,ftw2.jpg,5,,
36,ftw2.jpg,2,,
